Question,A,B,C,D,Answer
"The ""inverse square rule"" explains how _____ decreases with distance.",Beam width,Signal strength,Vehicle speed,Audio pitch,B
Which frequency band has the shortest wavelength?,X-band,K-band,Ka-band,AM radio,C
Multipath beam cancellation causes:,Higher speed readings,Blind spots in detection,Automatic device shutdown,Audio interference,B
R.F.I. interference often produces _____ in audio Doppler.,Musical tones,Complete silence,Noisy buzzing,Animal sounds,C
Operational range control adjusts R.A.D.A.R.'s:,Transmitter power,Receiver sensitivity,Antenna angle,Display brightness,B
Which is NOT a valid R.A.D.A.R. test?,Light test,Internal circuit test,Vehicle acceleration test,External tuning fork test,C
In State v. Hanson courts required verification of:,Officer's driving record,Patrol speed display,Driver's license,Radar detector use,B
Proper antenna mounting avoids:,Weather changes,Panning effect,Judicial notice,Legal citations,B
R.A.D.A.R. signals travel at:,Speed of sound,"186,000 miles per second",282 miles per second,Vehicle's speed,B
Which factor LEAST affects R.A.D.A.R.'s target selection?,Vehicle speed,Vehicle position,Reflective capability,Driver's age,D
Same-direction R.A.D.A.R. requires operator to manually select:,Beam width,Target faster/slower mode,Frequency band,Judicial notice,B
"The ""batching effect"" may occur during patrol vehicle:",Parking,Acceleration/Deceleration,Radio transmission,Window cleaning,B
Automatic lock/alarm features should be:,Always used,Disabled in all units,Required by law,Ignored in court,B
LIDAR is an acronym for:,Light Intensity Detection and Ranging,Light Identification Detection and Ranging,Light Detection and Ranging,Laser Illuminated Detection and Ranging,C
The scientific principle that states frequency changes with relative motion is:,Newton's Third Law,Doppler Principle,Ohm's Law,Pythagorean Theorem,B
LIDAR measures vehicle speed primarily using:,Sound wave reflection,Radio wave frequency shift,Light pulse time-of-flight,Magnetic field disturbances,C
The typical wavelength used in police LIDAR devices is:,24.150 GHz,10.525 GHz,904-905 nm,330 THz,C
Which component is NOT part of a basic LIDAR system?,Beam splitter,Lasing medium,Timer/computer,Radio transmitter,D
"The ""cosine effect"" in LIDAR operations occurs when:",The target vehicle is moving directly toward the device,The officer aims at multiple vehicles simultaneously,There's an angle between the vehicle's path and LIDAR position,The device experiences radio frequency interference,C
When experiencing cosine effect patrol speed is:,Higher than actual speed,Lower than actual speed,Unaffected by the angle,Identical to radar measurements,B
The sweep effect in LIDAR can be minimized by:,Using the device in rainy conditions,Aiming steadily at one vehicle part,Increasing the pulse repetition rate,Targeting dark-colored vehicles,B
LIDAR beam width at 1000 feet is approximately:,317 feet,210 feet,157 feet,3 feet,D
Before courtroom testimony officers must verify LIDAR accuracy with:,Internal circuit checks only,Light tests only,Before-and-after operational tests,No testing required if device is new,C
"The ""average of least squares"" in LIDAR processing helps:",Increase operational range,Calculate atmospheric interference,Eliminate targeting errors,Amplify weak return signals,C
Judicial notice of LIDAR reliability means courts:,Require expert testimony for each case,Accept its scientific validity without proof,Prohibit its use in speeding cases,Only allow it with radar verification,B
Proper LIDAR targeting should prioritize:,Dark-colored vehicles,Dirty surfaces,Reflective surfaces like license plates,Vehicle side panels,C
The pulse repetition rate for typical LIDAR devices is:,1-5 pulses per second,100-300 pulses per second,1000-5000 pulses per second,Only when trigger is pulled,B
LIDAR differs from radar primarily in its use of:,Sound waves,Radio waves,Infrared light,Microwaves,C
The first working LASER was built by:,Albert Einstein,Theodore Maiman,Gordon Gould,Charles Townes,B
LIDAR health precautions include:,Never staring directly into the device lens,Using lead shielding during operation,Limiting use to 5 minutes per hour,Wearing special protective goggles,A
Proper tracking history requires:,Only the LIDAR speed reading,Visual speed estimation and LIDAR corroboration,Three independent radar readings,Confession from the driver,B
Which legal case established that operators need not explain internal device workings?,Hawaii v. Assaye,Honeycutt v. Commonwealth,People v. Depass,State v. Green,B
The primary purpose of delta-distance testing is to verify:,Battery life,Beam alignment,Speed calculation accuracy,RFI resistance,C
LIDAR jammers are problematic because they:,Violate FCC regulations,Reduce device operational range,Require special training to detect,Are only effective against radar,B
Atmospheric conditions that reduce LIDAR effectiveness include:,High temperatures,Low humidity,Rain or fog,Bright sunlight,C
The time for light to travel one foot is approximately:,1 millisecond,1 microsecond,1 nanosecond,1 picosecond,C
Which factor does NOT affect LIDAR accuracy?,Vehicle color,Steady aim point,Relative motion,Time of day,D
For legal admissibility officers must document:,Manufacturer's profit margins,Device repair history,Driver's employment history,Vehicle loan information,B
